04-2004,4.1,
05-2004,5.3,
06-2004,5.8,
07-2004,15,
08-2004,15,
09-2004,18,
10-2004,22,
11-2004,26,
12-2004,27,
01-2005,28,
02-2005,28,
03-2005,28,
04-2005,29,
05-2005,29,
06-2005,30,
07-2005,31,
08-2005,34,
09-2005,35,
10-2005,35,
11-2005,36,
12-2005,37,
01-2006,37,
02-2006,38,
03-2006,38,
04-2006,39,
05-2006,39,
06-2006,40,
07-2006,42,
08-2006,44,
09-2006,45,
10-2006,46,
11-2006,48,
12-2006,50,
01-2007,54,
02-2007,57,
03-2007,62,
04-2007,68,
05-2007,71,
06-2007,72,
07-2007,73,
08-2007,74,
09-2007,75,
10-2007,76,
11-2007,78,
12-2007,80,
01-2008,82,
02-2008,84,
03-2008,86,
04-2008,88,
05-2008,90,
06-2008,91,
07-2008,93,
08-2008,95,
09-2008,97,
10-2008,101,
11-2008,104,
12-2008,108,
01-2009,111,
02-2009,114,
03-2009,117,
04-2009,119,
05-2009,125,
06-2009,131,
07-2009,135,
08-2009,138,
09-2009,139,
10-2009,142,
11-2009,143,
12-2009,145,
01-2010,147,
02-2010,150,
03-2010,152,
04-2010,155,
05-2010,161,
06-2010,165,
07-2010,168,
08-2010,170,
09-2010,178,
10-2010,198,
11-2010,201,
12-2010,202,
01-2011,204,
02-2011,207,
03-2011,213,241
04-2011,218,246
05-2011,221,250
06-2011,226,
07-2011,232,262
08-2011,238,272
09-2011,248,280
10-2011,254,288
11-2011,261,
12-2011,267,
01-2012,273,
02-2012,277,
03-2012,279,
05-2012,286,
06-2012,289,
07-2012,292,327
08-2012,294,329
09-2012,298,334
10-2012,302,338
11-2012,305,342
12-2012,308,345
02-2013,318,356
03-2013,321,361
04-2013,358,407
05-2013,377,430
06-2013,379,432.5
07-2013,381,434
08-2013,383,437
09-2013,385,439.5
10-2013,387,440
11-2013,389.5,443
01-2014,397,451
02-2014,404,462
03-2014,412,470
04-2014,413,472
05-2014,415.7,474.5
06-2014,418.2,477.5
06-2014,418.2,477.5
08-2014,422.1,482.0
09-2014,430.2,491.6
10-2014,435.1,497.3
11-2014,440.7,503.8
01-2015,445.0,508.5
01-2015,448.2,512.5
02-2015,451.8,516.8
03-2015,455.1,520.5
04-2015,458.0,523.7
05-2015,464.7,530.5
06-2015,467.4,533.7
07-2015,470.5,537.0
08-2015,472.6,539.2
09-2015,481.2,548.5
10-2015,484.6,552.4
11-2015,491.4,559.6
01-2016,500.5,569.8
02-2016,505.3,575.3
03-2016,508.6,579.1
04-2016,512.0,583.0
05-2016,516.3,587.8
06-2016,519.3,591.1
07-2016,521.9,594.1
08-2016,525.6,598.1
09-2016,528.5,601.3
10-2016,530.6,603.7
11-2016,533.4,606.9
12-2016,536.6,610.7
01-2017,563.5,646.1
02-2017,566.6,649.7
03-2017,570.3,654.3
04-2017,573.6,658.1
05-2017,578.3,663.3
06-2017,581.8,667.4
07-2017,585.4,671.4
08-2017,588.0,674.1
09-2017,591.6,678.2
10-2017,595.1,682.2
11-2017,599.7,687.3
12-2017,603.7,691.8
01-2018,606.1,694.4
02-2018,609.3,697.9
03-2018,613.7,702.6
04-2018,616.7,705.9
05-2018,617.9,707.3
06-2018,620.5,710.2
07-2018,624.8,714.8
08-2018,629.9,720.4
09-2018,633.1,724.1
10-2018,635.6,726.9
